Disease,Precaution,Source
(vertigo) Paroymsal  Positional Vertigo,Avoid sudden head movements and position changes,static
(vertigo) Paroymsal  Positional Vertigo,Sleep with your head slightly elevated on pillows,static
(vertigo) Paroymsal  Positional Vertigo,Perform Epley maneuver exercises as recommended by your doctor,static
(vertigo) Paroymsal  Positional Vertigo,Avoid bending down to pick up objects; squat instead,static
(vertigo) Paroymsal  Positional Vertigo,Take precautions to prevent falls especially at night,static
AIDS,Take antiretroviral therapy (ART) medications as prescribed,static
AIDS,Practice safe sex and use protection consistently,static
AIDS,Get regular CD4 count and viral load tests,static
AIDS,Avoid sharing needles or personal items that may have blood,static
AIDS,Maintain a healthy diet and exercise regularly,static
AIDS,Get vaccinated against preventable infections,static
Acne,Wash your face twice daily with a gentle cleanser,static
Acne,Avoid touching your face with unwashed hands,static
Acne,Use non-comedogenic skincare and makeup products,static
Acne,Do not pick squeeze or pop pimples,static
Acne,Keep hair clean and away from your face,static
Alcoholic hepatitis,Stop drinking alcohol completely and immediately,static
Alcoholic hepatitis,Follow a nutritious balanced diet high in protein,static
Alcoholic hepatitis,Take prescribed medications as directed by your doctor,static
Alcoholic hepatitis,Get vaccinated for Hepatitis A and B,static
Alcoholic hepatitis,Avoid acetaminophen and other liver-toxic medications,static
Allergy,Identify and avoid known allergens,static
Allergy,Keep antihistamines readily available,static
Allergy,Wear a medical alert bracelet if you have severe allergies,static
Allergy,Keep your living space clean and dust-free,static
Allergy,Use air purifiers with HEPA filters,static
Arthritis,Maintain a healthy weight to reduce joint stress,static
Arthritis,Exercise regularly with low-impact activities like swimming,static
Arthritis,Apply hot or cold therapy to affected joints,static
Arthritis,Take prescribed anti-inflammatory medications,static
Arthritis,Use assistive devices to protect joints,static
Bronchial Asthma,Carry your rescue inhaler at all times,static
Bronchial Asthma,Identify and avoid your asthma triggers,static
Bronchial Asthma,Take controller medications as prescribed daily,static
Bronchial Asthma,Monitor your peak flow readings regularly,static
Bronchial Asthma,Create an asthma action plan with your doctor,static
Cervical spondylosis,Maintain good posture while sitting and standing,static
Cervical spondylosis,Use ergonomic furniture and proper neck support,static
Cervical spondylosis,Do gentle neck stretching exercises daily,static
Cervical spondylosis,Apply heat or cold packs to relieve pain,static
Cervical spondylosis,Use a supportive pillow while sleeping,static
Chicken pox,Isolate the patient to prevent spreading the infection,static
Chicken pox,Keep fingernails trimmed short to prevent scratching,static
Chicken pox,Apply calamine lotion to relieve itching,static
Chicken pox,Take lukewarm baths with oatmeal or baking soda,static
Chicken pox,Wear loose cotton clothing to reduce irritation,static
Chronic cholestasis,Follow a low-fat diet as recommended by your doctor,static
Chronic cholestasis,Take prescribed medications to manage bile flow,static
Chronic cholestasis,Avoid alcohol consumption completely,static
Chronic cholestasis,Get regular liver function tests,static
Chronic cholestasis,Take vitamin supplements (A D E K) if prescribed,static
Common Cold,Get plenty of rest and sleep,static
Common Cold,Stay well hydrated with water juice and warm fluids,static
Common Cold,Use saline nasal drops to relieve congestion,static
Common Cold,Gargle with warm salt water for sore throat,static
Common Cold,Use a humidifier to add moisture to the air,static
Dengue,Rest completely and avoid strenuous activities,static
Dengue,Stay well hydrated with oral rehydration solutions,static
Dengue,Take acetaminophen for fever and pain (avoid aspirin and ibuprofen),static
Dengue,Monitor platelet count and seek medical attention if it drops,static
Dengue,Use mosquito nets and repellents to prevent further bites,static
Diabetes ,Monitor blood sugar levels regularly as prescribed,static
Diabetes ,Take diabetes medications or insulin as directed,static
Diabetes ,Follow a balanced diet with controlled carbohydrate intake,static
Diabetes ,Exercise regularly to help manage blood sugar,static
Diabetes ,Check your feet daily for cuts blisters or sores,static
Dimorphic hemmorhoids(piles),Increase fiber intake through fruits vegetables and whole grains,static
Dimorphic hemmorhoids(piles),Stay well hydrated by drinking plenty of water,static
Dimorphic hemmorhoids(piles),Avoid straining during bowel movements,static
Dimorphic hemmorhoids(piles),Take warm sitz baths to relieve discomfort,static
Dimorphic hemmorhoids(piles),Use over-the-counter hemorrhoid creams as directed,static
Drug Reaction,Stop taking the suspected medication immediately,static
Drug Reaction,Seek immediate medical attention for severe reactions,static
Drug Reaction,Keep a record of all medications that caused reactions,static
Drug Reaction,Wear a medical alert bracelet listing drug allergies,static
Drug Reaction,Inform all healthcare providers about your drug allergies,static
Fungal infection,Keep the affected area clean and dry,static
Fungal infection,Apply prescribed antifungal creams or medications,static
Fungal infection,Wear loose breathable cotton clothing,static
Fungal infection,Avoid sharing personal items like towels and combs,static
Fungal infection,Change socks and underwear daily,static
GERD,Eat smaller more frequent meals,static
GERD,Avoid eating 2-3 hours before bedtime,static
