iter	Accuracy	MultiClass
0	0.1219512195	3.702766165
1	0.2926829268	3.686155661
2	0.6097560976	3.663306846
3	0.8048780488	3.640825228
4	0.8292682927	3.620441425
5	0.9512195122	3.598137166
6	0.9756097561	3.579974339
7	1	3.567568038
8	1	3.549236954
9	1	3.530070829
10	1	3.50632199
11	1	3.496107358
12	1	3.493397807
13	1	3.477728508
14	1	3.464384294
15	1	3.442595893
16	1	3.431552141
17	1	3.4199453
18	1	3.402526425
19	1	3.381715248
20	1	3.369678362
21	1	3.352566784
22	1	3.334712186
23	1	3.318151327
24	1	3.304376153
25	1	3.292431988
26	1	3.281786264
27	1	3.260219852
28	1	3.239603771
29	1	3.220459558
30	1	3.197990274
31	1	3.18279183
32	1	3.170603074
33	1	3.157642657
34	1	3.14332033
35	1	3.122397513
36	1	3.112795874
37	1	3.091777003
38	1	3.071750183
39	1	3.060964651
40	1	3.038953997
41	1	3.027389985
42	1	3.004604096
43	1	2.983982679
44	1	2.973327927
45	1	2.950357131
46	1	2.933729549
47	1	2.918983414
48	1	2.90316634
49	1	2.891761241
50	1	2.875238088
51	1	2.858788964
52	1	2.847275592
53	1	2.82667948
54	1	2.806006842
55	1	2.787579495
56	1	2.779176357
57	1	2.770699514
58	1	2.759170803
59	1	2.751234466
60	1	2.737127731
61	1	2.729170942
62	1	2.716723306
63	1	2.706216232
64	1	2.697873837
65	1	2.676223178
66	1	2.668003397
67	1	2.655641138
68	1	2.645726643
69	1	2.63076159
70	1	2.618755037
71	1	2.603142371
72	1	2.592987935
73	1	2.575172195
74	1	2.561427699
75	1	2.554484138
76	1	2.545536795
77	1	2.53696136
78	1	2.526907878
79	1	2.507076663
80	1	2.500189504
81	1	2.481763168
82	1	2.474607297
83	1	2.466438983
84	1	2.459654542
85	1	2.452602007
86	1	2.434415222
87	1	2.414023587
88	1	2.405884919
89	1	2.391463962
90	1	2.384739824
91	1	2.375235711
92	1	2.368189645
93	1	2.361081642
94	1	2.351288597
95	1	2.34452093
96	1	2.3284183
97	1	2.313088127
98	1	2.290343176
99	1	2.279906378
100	1	2.273420707
101	1	2.260148707
102	1	2.251132999
103	1	2.243947037
104	1	2.232086868
105	1	2.225011491
106	1	2.214577826
107	1	2.207376964
108	1	2.186462782
109	1	2.169045127
110	1	2.162258529
111	1	2.153292408
112	1	2.143540738
113	1	2.13286969
114	1	2.125969356
115	1	2.105826492
116	1	2.099792865
117	1	2.093690641
118	1	2.084899475
119	1	2.078123294
120	1	2.068301883
121	1	2.059838366
122	1	2.054101465
123	1	2.035023837
124	1	2.02686426
125	1	2.014262111
126	1	2.007817446
127	1	2.000555289
128	1	1.994144241
129	1	1.985179302
130	1	1.978673375
131	1	1.973182658
132	1	1.961718342
133	1	1.955952025
134	1	1.943488344
135	1	1.937217796
136	1	1.920695568
137	1	1.911318544
138	1	1.902262536
139	1	1.896262551
140	1	1.890669622
141	1	1.874310458
142	1	1.86707831
143	1	1.860848077
144	1	1.854782446
145	1	1.848996024
146	1	1.839677086
147	1	1.823757291
148	1	1.805407334
149	1	1.786587256
150	1	1.775594708
151	1	1.764818417
