iter	Passed	Remaining
0	67	33852
1	92	22952
2	106	17699
3	123	15265
4	158	15672
5	189	15566
6	204	14429
7	235	14486
8	253	13825
9	282	13845
10	314	13979
11	343	13960
12	347	13006
13	357	12407
14	391	12652
15	425	12863
16	448	12752
17	472	12646
18	497	12598
19	513	12318
20	538	12272
21	554	12039
22	574	11918
23	594	11794
24	616	11719
25	631	11515
26	650	11392
27	665	11215
28	706	11473
29	721	11308
30	736	11149
31	752	11003
32	783	11083
33	811	11126
34	837	11130
35	862	11111
36	898	11242
37	920	11193
38	935	11063
39	951	10939
40	966	10820
41	970	10587
42	986	10482
43	1001	10379
44	1061	10730
45	1100	10862
46	1116	10759
47	1131	10656
48	1205	11099
49	1221	10993
50	1236	10886
51	1251	10783
52	1266	10684
53	1281	10587
54	1317	10661
55	1349	10698
56	1368	10632
57	1402	10688
58	1440	10769
59	1459	10700
60	1486	10697
61	1523	10759
62	1547	10733
63	1569	10690
64	1590	10642
65	1612	10606
66	1635	10570
67	1659	10544
68	1684	10521
69	1721	10575
70	1755	10606
71	1793	10660
72	1826	10681
73	1852	10663
74	1884	10676
75	1911	10662
76	1940	10660
77	1965	10634
78	1981	10559
79	2016	10585
80	2033	10516
81	2047	10439
82	2062	10363
83	2077	10288
84	2179	10642
85	2220	10688
86	2250	10684
87	2281	10680
88	2304	10642
89	2326	10598
90	2350	10562
91	2372	10520
92	2390	10460
93	2406	10394
94	2425	10338
95	2443	10283
96	2462	10229
97	2481	10178
98	2500	10129
99	2524	10097
100	2552	10082
101	2582	10076
102	2612	10069
103	2632	10025
104	2652	9978
105	2678	9954
106	2694	9896
107	2727	9899
108	2749	9863
109	2781	9861
110	2800	9814
111	2816	9758
112	2874	9845
113	2899	9818
114	2920	9778
115	2942	9740
116	2962	9698
117	2981	9653
118	3013	9647
119	3034	9608
120	3059	9581
121	3090	9574
122	3114	9547
123	3143	9531
124	3161	9483
125	3182	9446
126	3204	9411
127	3232	9395
128	3254	9359
129	3273	9316
130	3303	9306
131	3330	9286
132	3350	9245
133	3389	9258
134	3420	9248
135	3448	9229
136	3481	9224
137	3511	9212
138	3542	9199
139	3563	9163
140	3588	9135
141	3605	9089
142	3626	9053
143	3644	9011
144	3663	8970
145	3680	8925
146	3697	8878
147	3716	8839
148	3736	8802
149	3756	8764
150	3771	8715
151	3791	8680
152	3803	8625
153	3823	8589
154	3840	8548
