Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Flu,Drink plenty of fluids,Rest and sleep,Take over-the-counter pain relievers,Avoid contact with others
Typhoid,Antibiotics as prescribed,Drink treated water,Eat cooked food,Vaccination
Allergy,Avoid allergens,Take antihistamines,Keep windows closed,Wear a mask
Dengue,Rest and hydration,Pain relief (acetaminophen),Avoid mosquitoes,Monitor platelets
Covid-19,Isolate yourself,Wear a mask,Monitor oxygen levels,Consult a doctor
Migraine,Rest in dark room,Apply cold compress,Hydrate,Avoid triggers
Malaria,Antimalarial medication,Use mosquito nets,Wear long sleeves,Eliminate standing water
Fungal Infection,Keep area dry,Apply antifungal cream,Wear loose clothes,Don't share hygiene items
Common Cold,Rest,Hydrate,Vitamin C,Gargle salt water
Bronchitis,Rest,Fluids,Humidifier,Avoid smoke
